2020.12.01,"62,500","61,200","62,500","61,200","2,835,893"
2020.11.30,"61,100","62,400","62,500","61,100","6,415,253"
2020.11.27,"61,800","61,800","62,200","61,500","2,807,212"
2020.11.26,"61,900","61,100","61,900","60,300","2,301,092"
2020.11.25,"60,800","62,100","62,700","60,300","4,976,710"
2020.11.24,"61,800","61,600","63,500","61,000","5,934,539"
2020.11.23,"61,000","58,400","61,000","58,400","3,411,903"
2020.11.20,"58,300","58,200","59,000","58,000","2,006,084"
2020.11.19,"58,000","57,800","58,100","57,500","2,376,103"
2020.11.18,"58,500","58,600","59,000","57,700","3,624,699"
