2020.11.17,"59,000","59,400","60,000","59,000","4,830,037"
2020.11.16,"58,800","58,000","59,000","58,000","5,619,146"
2020.11.13,"57,400","57,000","58,200","56,900","3,818,072"
2020.11.12,"57,300","56,900","57,300","56,100","3,846,625"
2020.11.11,"56,900","54,700","56,900","54,700","3,285,787"
2020.11.10,"55,500","55,200","55,500","54,600","2,606,507"
2020.11.09,"55,000","54,100","55,000","54,000","2,142,600"
2020.11.06,"53,800","53,900","53,900","53,300","2,389,344"
2020.11.05,"53,500","52,400","53,500","52,400","2,026,073"
2020.11.04,"52,200","52,200","52,500","51,800","1,447,736"
