SJdate,SJclosePrice,SJopenPrice,SJvolume,SJUclosePrice,SJUopenPrice,SJUvolume
2019.02.20,"46,900","46,750","11,506,720","37,800","37,200","1,823,365"
2019.02.19,"45,950","45,850","6,741,395","36,600","37,200","784,726"
2019.02.18,"46,200","46,500","8,183,728","36,900","37,200","1,041,468"
2019.02.15,"46,050","46,750","10,554,643","36,850","37,500","989,865"
2019.02.14,"47,500","46,600","17,259,341","38,000","37,600","1,140,691"
2019.02.13,"46,200","46,400","11,299,738","37,600","37,600","939,470"
2019.02.12,"46,050","44,650","13,184,367","37,150","36,000","1,309,115"
2019.02.11,"45,000","44,500","11,125,044","36,000","35,500","1,262,820"
2019.02.08,"44,800","45,700","12,689,196","36,050","36,800","924,230"
2019.02.07,"46,200","46,800","15,872,001","37,200","37,500","859,283"
2019.02.01,"46,350","46,650","13,832,454","37,500","37,000","1,267,459"
2019.01.31,"46,150","46,650","21,621,145","37,500","37,450","2,574,883"
2019.01.30,"46,400","44,800","17,505,980","37,250","36,500","1,787,763"
2019.01.29,"45,500","45,050","16,215,017","37,100","36,500","1,885,222"
2019.01.28,"45,050","45,000","17,998,914","37,200","37,050","998,838"
2019.01.25,"44,750","44,300","22,789,395","37,200","36,500","1,727,856"
2019.01.24,"43,050","43,050","14,747,623","35,900","34,900","1,391,887"
2019.01.23,"42,000","41,350","11,071,079","35,150","34,800","1,917,182"
2019.01.22,"42,150","42,750","9,964,356","35,300","35,300","2,170,052"
2019.01.21,"42,750","42,700","11,355,701","35,650","35,400","2,294,825"
2019.01.18,"42,300","42,000","11,029,256","35,150","35,050","1,929,736"
2019.01.17,"41,950","41,700","11,736,903","35,000","34,450","2,179,326"
2019.01.16,"41,450","41,150","8,491,595","34,350","34,050","1,388,226"
2019.01.15,"41,100","40,050","11,492,756","33,850","33,050","1,502,321"
2019.01.14,"40,050","40,450","11,984,996","33,050","32,900","1,099,766"
2019.01.11,"40,500","40,350","11,661,063","33,100","32,550","1,253,321"
2019.01.10,"39,800","40,000","14,731,699","32,450","32,350","2,272,279"
2019.01.09,"39,600","38,650","17,452,708","32,500","31,350","1,829,977"
2019.01.08,"38,100","38,000","12,756,554","30,900","31,500","1,228,454"
2019.01.07,"38,750","38,000","12,748,997","32,100","30,800","1,500,454"
2019.01.04,"37,450","37,450","14,108,958","30,450","30,400","1,153,869"
2019.01.03,"37,600","38,300","12,471,493","30,800","31,450","743,231"
2019.01.02,"38,750","39,400","7,847,664","31,600","32,700","944,879"
2018.12.28,"38,700","38,250","9,900,267","31,750","31,450","863,411"
2018.12.27,"38,250","38,700","10,510,643","31,400","31,450","1,289,519"
2018.12.26,"38,350","38,400","12,707,675","31,000","30,600","1,073,202"
2018.12.24,"38,800","38,500","9,729,530","31,000","31,100","1,266,015"
2018.12.21,"38,650","38,200","14,947,080","31,450","31,100","3,023,387"
